,Time,Reward,Deadline,Episode
0,0,-0.5,30,1
1,1,-0.5,29,1
2,2,-1.5,28,1
3,3,-1.5,27,1
4,4,-1.5,26,1
5,5,-1.5,25,1
6,6,-2.5,24,1
7,7,-3.5,23,1
8,8,-1.5,22,1
9,9,0.5,21,1
10,10,-0.5,20,1
11,11,-1.5,19,1
12,12,-2.0,18,1
13,13,0.0,17,1
14,14,-1.0,16,1
15,15,1.0,15,1
16,16,3.0,14,1
17,17,2.5,13,1
18,18,1.5,12,1
19,19,0.5,11,1
20,20,0.0,10,1
21,21,-0.5,9,1
22,22,-1.0,8,1
23,23,1.0,7,1
24,24,3.0,6,1
25,25,2.5,5,1
26,26,2.0,4,1
27,27,4.0,3,1
28,28,3.5,2,1
29,29,5.5,1,1
30,30,5.0,0,1
31,0,2.0,30,2
32,1,4.0,29,2
33,2,3.0,28,2
34,3,5.0,27,2
35,4,4.0,26,2
36,5,3.0,25,2
37,6,2.0,24,2
38,7,1.0,23,2
39,8,3.0,22,2
40,9,2.5,21,2
41,10,4.5,20,2
42,11,6.5,19,2
43,12,5.5,18,2
44,13,4.5,17,2
45,14,3.5,16,2
46,15,2.5,15,2
47,16,14.5,14,2
48,0,0.0,35,3
49,1,2.0,34,3
50,2,4.0,33,3
51,3,3.0,32,3
52,4,2.0,31,3
53,5,4.0,30,3
54,6,3.5,29,3
55,7,3.0,28,3
56,8,2.5,27,3
57,9,4.5,26,3
58,10,6.5,25,3
59,11,6.5,24,3
60,12,6.0,23,3
61,13,8.0,22,3
62,14,10.0,21,3
63,15,12.0,20,3
64,16,11.5,19,3
65,17,11.0,18,3
66,18,13.0,17,3
67,19,12.5,16,3
68,20,12.0,15,3
69,21,11.5,14,3
70,22,13.5,13,3
71,23,13.0,12,3
72,24,15.0,11,3
73,25,17.0,10,3
74,26,16.5,9,3
75,27,18.5,8,3
76,28,20.5,7,3
77,29,20.0,6,3
78,30,19.5,5,3
79,31,21.5,4,3
80,32,23.5,3,3
81,33,25.5,2,3
82,34,27.5,1,3
83,35,29.5,0,3
84,0,-1.0,25,4
85,1,-1.0,24,4
86,2,-2.0,23,4
87,3,-2.0,22,4
88,4,0.0,21,4
89,5,-0.5,20,4
90,6,11.5,19,4
91,0,-0.5,20,5
92,1,-1.0,19,5
93,2,-1.5,18,5
94,3,-2.5,17,5
95,4,-0.5,16,5
96,5,-1.0,15,5
97,6,-1.5,14,5
98,7,-2.0,13,5
99,8,0.0,12,5
100,9,-0.5,11,5
101,10,1.5,10,5
102,11,3.5,9,5
103,12,3.0,8,5
104,13,5.0,7,5
105,14,17.0,6,5
106,0,2.0,35,6
107,1,1.5,34,6
108,2,3.5,33,6
109,3,2.5,32,6
110,4,2.0,31,6
111,5,1.5,30,6
112,6,3.5,29,6
113,7,5.5,28,6
114,8,7.5,27,6
115,9,7.5,26,6
116,10,19.5,25,6
117,0,2.0,30,7
118,1,1.5,29,7
119,2,3.5,28,7
120,3,3.0,27,7
121,4,2.5,26,7
122,5,2.0,25,7
123,6,1.0,24,7
124,7,0.5,23,7
125,8,0.0,22,7
126,9,-0.5,21,7
127,10,-1.0,20,7
128,11,1.0,19,7
129,12,1.0,18,7
130,13,0.0,17,7
131,14,-0.5,16,7
132,15,-1.0,15,7
133,16,-1.5,14,7
134,17,-2.0,13,7
135,18,0.0,12,7
136,19,-0.5,11,7
137,20,1.5,10,7
138,21,1.5,9,7
139,22,3.5,8,7
140,23,5.5,7,7
141,24,5.0,6,7
142,25,7.0,5,7
143,26,9.0,4,7
144,27,21.0,3,7
145,0,2.0,40,8
146,1,4.0,39,8
147,2,3.5,38,8
148,3,3.0,37,8
149,4,5.0,36,8
150,5,4.5,35,8
151,6,6.5,34,8
152,7,8.5,33,8
153,8,10.5,32,8
154,9,10.0,31,8
155,10,9.5,30,8
156,11,11.5,29,8
157,12,13.5,28,8
158,13,13.5,27,8
159,14,15.5,26,8
160,15,15.0,25,8
161,16,14.5,24,8
162,17,14.0,23,8
163,18,13.5,22,8
164,19,15.5,21,8
165,20,15.0,20,8
166,21,14.5,19,8
167,22,16.5,18,8
168,23,18.5,17,8
169,24,18.0,16,8
170,25,20.0,15,8
171,26,32.0,14,8
172,0,-1.0,35,9
173,1,-1.5,34,9
174,2,-2.0,33,9
175,3,0.0,32,9
176,4,-1.0,31,9
177,5,-1.5,30,9
178,6,0.5,29,9
179,7,2.5,28,9
180,8,4.5,27,9
181,9,4.0,26,9
182,10,3.5,25,9
183,11,5.5,24,9
184,12,5.5,23,9
185,13,5.0,22,9
186,14,4.5,21,9
187,15,4.0,20,9
188,16,3.5,19,9
189,17,3.0,18,9
190,18,2.5,17,9
191,19,4.5,16,9
192,20,6.5,15,9
193,21,6.0,14,9
194,22,5.5,13,9
195,23,5.0,12,9
196,24,7.0,11,9
197,25,9.0,10,9
198,26,8.0,9,9
199,27,7.5,8,9
200,28,7.0,7,9
201,29,6.5,6,9
202,30,8.5,5,9
203,31,10.5,4,9
204,32,12.5,3,9
205,33,12.0,2,9
206,34,11.5,1,9
207,35,13.5,0,9
208,0,2.0,25,10
209,1,1.0,24,10
210,2,0.5,23,10
211,3,0.0,22,10
212,4,2.0,21,10
213,5,1.5,20,10
214,6,3.5,19,10
215,7,3.0,18,10
216,8,5.0,17,10
217,9,4.5,16,10
218,10,4.0,15,10
219,11,3.5,14,10
220,12,3.0,13,10
221,13,2.5,12,10
222,14,4.5,11,10
223,15,4.5,10,10
224,16,4.0,9,10
225,17,3.5,8,10
226,18,5.5,7,10
227,19,4.5,6,10
228,20,4.5,5,10
229,21,6.5,4,10
230,22,6.0,3,10
231,23,5.0,2,10
232,24,7.0,1,10
233,25,9.0,0,10
234,0,-0.5,30,11
